mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
30.2,28.9,32.1,25.8,1008.2,78,78,0,0,9.4,23.52,5.7,210,24.5
30.6,28.4,33.6,25.9,1008.1,76,69,0.4,0,10.6,27.2,7.4,210,23.5
29.8,27.9,31.1,25.2,1008.2,76,83,1.7,0,8.1,20.46,7.2,210,22.8
29.8,27,33,24.9,1009,76,64,3.9,0,10.2,23.98,7.2,210,18.4
30,27.3,32.8,25.1,1008.9,76,61,1.8,0,11.2,26.59,7.1,210,18.7
30.2,28.2,33.5,25.2,1008.4,75,55,0,0,10.1,23.73,6.2,200,15.6
29.9,28.3,32.7,25.8,1008.5,79,61,0,0,9,24.48,6.3,120,12.4
30.2,28.3,33.9,26,1008.4,79,73,0,0,7.9,23.92,5.6,60,18.9
29.2,26.4,32.5,26.6,1007.5,86,89,8.4,0,4.9,15.47,4.7,90,23.1
27.6,25.3,31.7,25.3,1008.3,88,77,17.8,0,8.3,17.8,5.9,120,23.9
27.7,23.6,31.9,25.6,1010.5,89,85,40,0,9.6,18.62,6.1,120,19.3
28.1,24.4,32.1,25.5,1011.1,86,61,1.1,0,10,22.67,4.8,10,7.3
29.7,27.3,33.6,25,1009.3,77,33,0,0,10.9,24.24,5.6,160,6.2
29.5,27.8,33,25.8,1008.6,81,57,0,0,9.1,24.43,5.5,80,10.3
27.4,24.8,30,25.8,1007.4,91,88,29.6,0,0.9,5.41,4.5,80,29.3
27.2,24.6,29.5,26,1006.9,93,88,182.4,0,0.2,6.48,4.3,120,35.6
27.6,25.4,30.1,25.9,1007.8,91,86,14.6,0,1.5,11.33,3.3,100,17.8
28.3,25.6,31.9,25.6,1008.1,86,80,1.1,0,9,24.73,6.1,90,13.7
29.2,27.1,32.3,25.5,1007.5,81,58,0,0,10.6,25.55,4.5,110,8.3
29.2,27.5,32.3,25.3,1007.5,80,72,0,0,9.1,23.74,6.3,210,12.9
27.9,26.4,30.1,25.2,1008.2,86,90,33.6,0,2.9,13.46,4.1,220,24.3
26.9,23.9,29.4,25.3,1008.3,91,93,122.5,0,0,4.38,2.5,210,23.5
28.5,24.5,31.8,25.2,1006.9,83,86,4.6,0,4.6,18.01,3.8,220,25.6
29.6,26.9,32.4,25.8,1006.9,80,79,5.1,0,7.8,21.5,5.3,220,22.8
30.1,28,33.4,25.7,1008.2,78,70,0.8,0,7.6,21.66,4.1,210,16.6
30,28.3,32.7,25.9,1010.3,79,51,0,0,9.2,26.16,7.6,130,16.1
29.4,28,32.7,25.4,1010.3,79,64,1.1,0,8.5,21.87,6,200,14.4
29.1,27.3,32.2,24.4,1007.5,76,39,0,0,10.4,26.29,6.6,230,17.9
30,27.5,33.1,24.7,1005.1,74,28,0,0,10.7,25.15,5.9,270,18.8
29.4,24.3,33.7,25.2,1005.5,79,62,41.6,2,8.7,21,7,30,13.5
28.4,25,32.2,24.8,1006,81,82,1.6,0,6.4,17.98,4.9,40,20.7
